DATE,XTNTVA01KRM667S
1970-10-01,-122797062.99536
1970-11-01,-108843333.73389101
1970-12-01,-140444024.564734
1971-01-01,-83961595.7419236
1971-02-01,-146729418.566167
1971-03-01,-94847479.4905234
1971-04-01,-121074340.257119
1971-05-01,-113774925.521629
1971-06-01,-137173691.942477
1971-07-01,-138196574.399918
1971-08-01,-131311872.08982201
1971-09-01,-109321541.218972
1971-10-01,-99108168.9985223
1971-11-01,-80849051.1222699
1971-12-01,-77425733.78989969
1972-01-01,-60080102.873473994
1972-02-01,-64188590.58848481
1972-03-01,-96519623.4322414
1972-04-01,-87751038.6874495
1972-05-01,-93283546.0142166
1972-06-01,-77498607.8548647
1972-07-01,-69327644.7597385
1972-08-01,-63811767.351193205
1972-09-01,-85058577.0066565
1972-10-01,-86682492.70102039
1972-11-01,-57498995.8543285
1972-12-01,-66206291.108116
1973-01-01,-76878499.5948142
1973-02-01,-49617964.4964156
1973-03-01,-82313182.26893471
1973-04-01,-121262031.621041
1973-05-01,-122754345.066506
1973-06-01,-121232197.243181
1973-07-01,-124516665.340324
1973-08-01,-78846056.2514859
1973-09-01,-75013524.6829481
1973-10-01,-52802153.5254806
1973-11-01,-47746302.468322895
1973-12-01,-72916309.8844368
1974-01-01,-124447642.421928
1974-02-01,-121423519.676256
1974-03-01,-125088093.971381
1974-04-01,-143642245.82222602
1974-05-01,-176885265.369574
1974-06-01,-228024201.141272
1974-07-01,-230296001.602097
1974-08-01,-281837170.60934997
1974-09-01,-190758290.072931
1974-10-01,-280600778.287878
1974-11-01,-237879806.856
1974-12-01,-233486923.92591798
1975-01-01,-290933665.472692
1975-02-01,-344246818.785224
1975-03-01,-346747262.824613
1975-04-01,-333790149.260882
1975-05-01,-206652623.576076
1975-06-01,-198683768.0221
1975-07-01,-73691285.5096558
1975-08-01,-72751190.0948139
1975-09-01,-97706913.6811023
1975-10-01,-106760933.533355
1975-11-01,-228202614.087305
1975-12-01,-79839762.5496448
1976-01-01,-117494235.025607
1976-02-01,-112633937.13846199
1976-03-01,-79969484.5336367
1976-04-01,-58929945.4475472
1976-05-01,-91276331.375793
1976-06-01,-32140985.3319529
1976-07-01,-152013715.185981
1976-08-01,-96280550.2125971
1976-09-01,-193846138.438239
1976-10-01,-40394516.5413613
1976-11-01,-79298405.1755909
1976-12-01,-49370284.4056741
1977-01-01,8193331.46734047
1977-02-01,-28602020.723451
1977-03-01,-66614961.55447511
1977-04-01,-77918786.5422558
1977-05-01,-113895958.334282
1977-06-01,-156869962.354905
1977-07-01,-38601520.1672522
1977-08-01,-62469567.5766193
1977-09-01,-68752549.4706756
1977-10-01,-276278810.75425196
1977-11-01,-70377143.9665806
1977-12-01,134823234.14073998
1978-01-01,-54533821.767429605
1978-02-01,-61553487.1476147
1978-03-01,-31724369.031544104
1978-04-01,-40457214.0944072
1978-05-01,-131788499.255509
1978-06-01,-174636262.801556
1978-07-01,-204604489.190962
1978-08-01,-282547805.383698
1978-09-01,-261239668.551935
1978-10-01,-305240987.262645
1978-11-01,-390339079.794046
1978-12-01,-330376985.250664
1979-01-01,-373900063.248489
1979-02-01,-358569889.49052596
1979-03-01,-319972092.557401
1979-04-01,-421086602.765692
1979-05-01,-520133259.527361
1979-06-01,-586923663.946491
1979-07-01,-445140031.636334
1979-08-01,-487501979.050291
1979-09-01,-406736524.20556897
1979-10-01,-397490009.895493
1979-11-01,-412563620.194662
1979-12-01,-540922593.160452
1980-01-01,-466496882.420924
1980-02-01,-498691769.09003
1980-03-01,-457748811.311727
1980-04-01,-478907355.399162
1980-05-01,-426853228.882173
1980-06-01,-363717609.12182
1980-07-01,-464143193.655908
1980-08-01,-351004762.029395
1980-09-01,-219601338.27221102
1980-10-01,-375129205.614739
1980-11-01,-208408360.09278798
1980-12-01,-490539762.153421
1981-01-01,-260393951.95683601
1981-02-01,-421792804.771099
1981-03-01,-467649516.378441
1981-04-01,-398906087.89035696
1981-05-01,-435348353.420826
1981-06-01,-348267554.692642
1981-07-01,-412433067.27764803
1981-08-01,-380250546.11033297
1981-09-01,-263273792.68527102
1981-10-01,-219707876.711838
1981-11-01,-437901938.36234796
1981-12-01,-695120069.600746
1982-01-01,-198197533.502085
1982-02-01,-168571924.430705
1982-03-01,-210895174.423089
1982-04-01,-229236135.861049
1982-05-01,106691652.78340401
1982-06-01,-276623491.12898
1982-07-01,-103082048.943289
1982-08-01,-212428133.904351
1982-09-01,-172013871.594545
1982-10-01,59078724.888802305
1982-11-01,-652788256.18601
1982-12-01,-359869093.31563896
1983-01-01,-348555692.878947
1983-02-01,-320602593.736174
1983-03-01,-214267865.034314
1983-04-01,97140049.1921764
1983-05-01,-80581673.2187197
1983-06-01,68297269.6971242
1983-07-01,-5007768.21694183
1983-08-01,91057549.40042329
1983-09-01,-142131820.255575
1983-10-01,-120590873.357772
1983-11-01,-469252978.879756
1983-12-01,-475109787.2174
1984-01-01,-57822415.8694014
1984-02-01,-112928782.73495199
1984-03-01,-225742782.777577
1984-04-01,-192064593.274451
1984-05-01,-283780102.98601604
1984-06-01,-168515807.20203897
1984-07-01,-220054918.138817
1984-08-01,-306913225.02205795
1984-09-01,-328062629.026119
1984-10-01,74124543.12357861
1984-11-01,112441805.91944599
1984-12-01,185063079.407753
1985-01-01,-434642955.645939
1985-02-01,-148001948.284007
1985-03-01,64982458.8564601
1985-04-01,8674811.0081253
1985-05-01,-159137051.716347
1985-06-01,33380477.839852296
1985-07-01,11304588.006793
1985-08-01,-18245345.8938618
1985-09-01,-6293163.53623915
1985-10-01,-219276279.163126
1985-11-01,-41788317.0614066
1985-12-01,-51357134.9507213
1986-01-01,-444182730.049798
1986-02-01,-132653431.22516902
1986-03-01,22396634.8879871
1986-04-01,74834019.40244439
1986-05-01,399938109.27863497
1986-06-01,405178524.047464
1986-07-01,257197872.06498602
1986-08-01,434961451.74744797
1986-09-01,473416102.712928
1986-10-01,460881512.484913
1986-11-01,583879973.229917
1986-12-01,85132557.2627378
1987-01-01,908891383.818471
1987-02-01,460265784.651941
1987-03-01,597421577.668808
1987-04-01,474401592.810429
1987-05-01,468760465.548034
1987-06-01,451429321.83176297
1987-07-01,574205263.215743
1987-08-01,46425417.7777495
1987-09-01,551188543.597116
1987-10-01,342359536.49799997
1987-11-01,468988328.15679795
1987-12-01,574344008.324584
1988-01-01,860012113.5351499
1988-02-01,872255816.569135
1988-03-01,699322399.075118
1988-04-01,650364635.3078561
1988-05-01,602844588.573034
1988-06-01,442696382.205626
1988-07-01,678752305.3772349
1988-08-01,721975982.6242061
1988-09-01,683598255.683488
1988-10-01,507976242.643847
1988-11-01,1046193077.7133199
1988-12-01,901967498.478367
1989-01-01,667996391.439094
1989-02-01,355269907.13921505
1989-03-01,290790190.78268695
1989-04-01,79526361.4225378
1989-05-01,46593398.4257908
1989-06-01,-131143160.05746701
1989-07-01,8350306.14401817
1989-08-01,-237685876.001315
1989-09-01,60324789.013221696
1989-10-01,-334242806.90383303
1989-11-01,113741434.112206
1989-12-01,29199555.3753624
1990-01-01,-216773341.347611
1990-02-01,-123561560.88596499
1990-03-01,-444865635.716017
1990-04-01,-352261906.597697
1990-05-01,-449827616.034113
1990-06-01,-85564766.71831611
1990-07-01,17860418.3937416
1990-08-01,-154723916.827953
1990-09-01,-429296380.25898
1990-10-01,-1170690969.25678
1990-11-01,-1302734982.87783
1990-12-01,-256957007.046606
1991-01-01,-887836538.636533
1991-02-01,-1335071485.1402
1991-03-01,-1111008439.8330898
1991-04-01,-873240151.607412
1991-05-01,-746812238.0213001
1991-06-01,-467029763.016626
1991-07-01,-1331875891.41931
1991-08-01,-698391630.8987709
