"시점",M2(말잔 계절조정계열),현금통화,요구불예금,수시입출식저축성예금,MMF,만기2년미만정기예적금,수익증권,시장형상품1),만기2년미만금융채,만기2년미만금전신탁,기타2)
"2007.04",1163956.2,21064.3,77116.2,207436.8,47674.8,459328.6,117574.5,95207.5,50827.4,52845.0,34881.1
"2007.05",1177305.6,20989.2,76182.9,205444.0,48777.8,464729.5,121831.7,98327.2,51408.5,54364.2,35250.5
"2007.06",1193136.8,21066.9,74417.4,203806.7,53185.2,469746.8,127817.7,99988.0,51379.5,56145.3,35583.5
"2007.07",1208042.7,21020.7,76270.9,204653.3,52269.9,469978.1,134994.9,103208.6,51814.2,56694.8,37137.4
"2007.08",1212977.9,21245.6,75765.8,204831.6,49853.4,466985.9,140794.1,107925.1,51476.1,58578.2,35522.2
"2007.09",1224764.4,21392.9,75903.7,202962.2,53514.9,466355.9,149398.7,104847.7,51011.4,62145.3,37231.6
"2007.10",1244856.2,21334.1,78749.8,209112.5,52645.1,463661.5,160133.6,106773.1,51929.4,63298.2,37219.1
"2007.11",1255772.9,21515.8,80613.4,206350.1,52456.9,469463.9,170836.8,106964.0,50867.4,62500.4,34204.2
"2007.12",1277716.2,21517.6,78407.1,205227.2,48172.6,480917.4,179801.8,110099.5,52385.7,65090.0,36097.2
"2008.01",1300788.9,21327.8,76348.7,201534.2,50645.8,495847.3,188906.8,110332.3,52537.6,68552.2,34756.2
"2008.02",1321330.6,21585.0,76337.9,202944.3,59294.3,503131.9,194957.8,108047.2,53177.5,66309.1,35545.6
"2008.03",1325472.1,21732.5,76044.2,197794.8,53871.1,507201.3,200780.4,108728.9,53899.4,69620.2,35799.2
"2008.04",1357256.2,21841.1,78214.8,203579.1,58372.0,513240.0,204606.3,111366.2,58570.7,71063.5,36402.4
"2008.05",1363020.8,22003.3,78790.2,204382.5,61259.3,516664.2,203727.0,113296.6,57945.0,66023.8,38928.9
"2008.06",1362676.1,22143.3,78492.2,207124.8,58734.5,518153.3,202613.2,115121.7,59009.3,65172.9,36110.8
"2008.07",1376448.5,22061.8,79635.7,209602.7,58034.0,520791.2,201999.2,116269.0,59779.4,68288.0,39987.5
"2008.08",1390953.9,22207.5,81252.6,208426.6,60424.5,525951.4,202608.6,116061.2,63123.3,71910.9,38987.3
"2008.09",1393143.1,22515.8,81779.7,214522.7,50267.3,534091.6,199880.1,118249.5,62381.8,67889.5,41565.1
"2008.10",1410713.7,22582.5,81086.6,217749.2,46631.1,553201.1,191961.9,122766.8,62013.2,66991.3,45730.0
"2008.11",1416552.6,23112.6,80384.8,217848.7,50099.8,560593.6,187774.1,116333.8,62176.8,70200.2,48028.1
"2008.12",1420513.9,22851.5,81386.6,216996.3,51235.2,572046.3,186720.5,111431.7,62129.8,66445.2,49270.8
"2009.01",1447176.3,23503.3,84040.4,218670.2,66730.7,579643.3,180596.4,108751.1,62691.1,68797.2,53752.5
"2009.02",1468724.4,23740.2,87133.2,230012.8,75447.9,584420.6,175701.4,110852.1,62419.8,65021.0,53975.3
"2009.03",1477172.3,23919.7,89531.9,233256.1,75324.8,586169.4,176460.3,110686.2,64151.1,64211.8,53460.9
"2009.04",1489725.1,24153.4,92087.7,239600.9,77099.4,587000.2,176021.2,111354.9,66694.8,64848.9,50863.7
"2009.05",1497469.5,23867.1,90958.8,244154.0,72183.2,588962.6,175740.5,111609.8,71567.4,68121.3,50304.8
"2009.06",1504947.6,24849.7,96679.8,246598.9,63967.9,591573.1,175018.0,113864.6,75618.1,65027.4,51750.1
"2009.07",1508400.0,25726.8,92238.6,246373.2,56146.5,604392.9,173015.6,112644.9,75060.5,65898.5,56902.6
"2009.08",1528685.5,26133.4,94810.7,253377.0,50913.6,611193.1,171113.8,114566.9,61057.1,69169.5,76350.3
"2009.09",1530457.4,27272.9,95364.0,253655.5,48988.3,619271.6,167352.1,114970.3,59524.8,69378.8,74679.1
"2009.10",1547684.4,27464.2,94735.1,253840.5,45905.7,632200.8,166367.5,118280.0,56351.9,75862.1,76676.6
"2009.11",1560275.6,27815.4,96283.5,252989.7,48434.5,644305.1,163160.0,116954.8,57774.2,77285.3,75273.2
"2009.12",1564576.2,28827.5,95268.4,256205.4,54280.9,650517.6,157764.1,115526.9,54540.8,75998.9,75645.6
"2010.01",1588337.4,28351.2,97314.9,255988.1,57202.3,674504.7,152965.6,110409.4,58237.8,80736.6,72626.7
"2010.02",1593006.8,28715.0,97696.0,256417.0,52243.7,681263.1,155185.1,107897.4,59052.0,80124.2,74413.2
"2010.03",1616280.1,29738.1,98643.2,257777.0,59789.8,699854.2,152997.4,97830.3,61510.2,81119.3,77020.6
"2010.04",1626339.8,30555.4,98152.1,260443.6,63431.0,711026.4,151981.9,88697.1,62296.5,83534.2,76221.5
"2010.05",1638256.5,31068.8,99498.5,270557.4,57231.0,724833.4,152782.7,81245.8,63158.3,85098.0,72782.5
"2010.06",1644664.2,31680.1,101689.5,269524.9,62784.7,737368.0,146033.6,74474.6,62632.4,83750.4,74726.0
"2010.07",1643203.9,32007.1,102731.4,268458.6,55315.4,749206.1,141842.6,68212.2,62728.0,83181.6,79521.1
"2010.08",1652293.0,32484.1,100833.6,271427.7,56171.0,761261.5,141184.7,64241.5,62921.7,84419.0,77348.3
"2010.09",1653930.4,32582.5,101764.9,268221.7,57084.8,770212.6,141102.1,61230.6,63349.0,78802.2,79579.9
"2010.10",1664712.2,32899.1,101474.2,275727.7,58427.5,776465.2,141423.2,55762.0,65131.0,81348.8,76053.5
"2010.11",1675564.8,33752.5,102815.7,282764.7,59974.0,781175.8,141474.7,51584.0,64307.8,82201.5,75514.1
"2010.12",1654675.8,34462.8,100291.2,283339.6,54885.8,778830.5,141276.5,50197.1,60973.7,75908.4,74510.2
"2011.01",1672025.3,35697.4,107456.9,287224.5,49965.8,782895.2,142922.5,48407.7,63278.4,80449.2,73727.6
"2011.02",1679474.1,35578.3,106585.2,288044.0,45255.9,794337.4,142074.8,46906.6,61432.1,84858.4,74401.5
"2011.03",1680236.3,35390.8,100421.7,287095.5,46923.6,801895.4,142969.2,46303.2,57863.3,85142.0,76231.5
"2011.04",1690397.6,35614.2,101136.4,288393.6,44335.5,812614.3,142081.2,45684.8,55285.6,87542.8,77709.2
"2011.05",1688354.1,36118.5,101411.6,280289.8,44147.1,821289.5,143859.8,45051.6,59468.0,84410.9,72307.3
"2011.06",1691081.9,36514.0,100814.3,280129.2,43632.4,826215.0,144847.4,44787.3,57000.7,85208.5,71933.1
"2011.07",1708850.2,36657.8,102315.9,283582.4,38970.4,833538.1,146185.3,45283.7,56623.3,91642.0,74051.5
"2011.08",1714816.8,37291.6,100849.3,286455.3,38045.1,839309.7,147256.1,44943.6,56871.0,91629.4,72165.6
"2011.09",1730154.1,37337.6,101196.6,283410.4,41577.5,843035.6,150618.9,44811.3,57352.7,95429.5,75383.9
"2011.10",1739993.6,37952.8,101170.4,285934.1,45099.4,847438.0,148674.1,44738.8,59424.8,95115.0,74446.3
"2011.11",1747627.2,38395.8,101377.7,286383.9,44693.0,852892.3,148160.7,44915.6,60384.9,94460.1,75963.0
"2011.12",1745479.0,38978.2,103250.8,286021.3,40886.8,854129.1,151316.2,42432.7,60433.3,95516.3,72514.3
"2012.01",1754492.4,39192.6,101495.1,291536.5,45844.7,851921.0,148210.2,41806.2,59700.0,96884.1,77901.9
"2012.02",1761834.9,40054.0,101402.2,292937.6,42620.2,860273.1,147225.2,40889.3,58935.1,102104.3,75393.8
"2012.03",1781796.6,40136.0,105288.3,297706.4,45754.3,863160.1,146031.2,41037.1,59961.8,106394.2,76327.1
"2012.04",1777140.1,40484.1,102826.6,295167.1,45430.4,866806.2,144569.5,40381.4,60171.8,104663.3,76639.6
"2012.05",1783471.9,41078.9,102031.8,297172.2,43691.1,871897.7,144585.0,38725.4,62483.4,106621.0,75185.4
"2012.06",1793953.8,41334.0,103731.2,294477.2,43746.6,877847.9,144970.1,36981.4,64049.4,109330.7,77485.2
"2012.07",1810820.3,41689.6,102759.6,299859.6,46931.8,883001.9,146383.7,35954.2,62968.3,109990.5,81281.0
"2012.08",1809494.1,42004.7,103215.4,298199.8,48741.0,881950.3,147310.9,34339.5,62484.0,110810.8,80437.8
"2012.09",1814426.9,43789.8,103271.0,299371.4,47385.3,881374.8,147628.1,33298.5,61524.0,113798.5,82985.6
"2012.10",1824948.7,43840.0,106637.7,300372.0,54088.4,878045.9,149130.6,31824.5,60399.5,116244.8,84365.2
"2012.11",1828334.9,43694.2,105552.1,302924.2,51244.7,878284.6,150729.7,31174.7,60665.6,121358.2,82707.1
"2012.12",1840118.2,43873.5,108305.8,308913.7,45763.5,881443.8,150630.0,30450.7,60609.0,129676.5,80451.8
"2013.01",1847193.9,44272.0,109291.7,309469.7,54076.9,881579.5,150169.5,31319.6,58502.0,131158.1,77355.0
"2013.02",1854094.3,44668.0,109449.4,312567.4,52633.8,881413.6,151915.9,31846.5,58162.9,132053.9,79382.8
"2013.03",1863650.9,46628.3,112877.4,313112.6,53768.3,877041.9,155342.7,31720.7,59928.1,134116.0,79114.8
"2013.04",1871682.6,47615.8,113333.8,317312.8,47256.0,877857.7,160554.0,31391.6,61575.3,134774.8,80010.7
"2013.05",1878597.5,48450.1,116114.4,321234.8,51269.8,870346.0,160927.0,31646.6,62802.0,136838.4,78968.4
"2013.06",1880737.5,48786.9,115421.9,327800.4,48715.6,867450.4,160659.0,31982.8,64216.5,136939.2,78764.9
"2013.07",1879888.3,49747.4,115121.4,321645.6,52054.4,866839.3,160834.3,32658.1,65076.1,135584.9,80326.6
"2013.08",1890507.4,50048.7,117585.5,320526.0,49162.4,869867.8,157922.7,33176.9,66297.0,140825.7,85094.7
"2013.09",1904728.3,50939.6,118989.6,327491.5,50736.7,870823.8,155483.5,33005.0,67725.1,143664.3,85869.3
"2013.10",1908084.8,51470.2,118923.2,330672.8,47932.2,869868.0,153084.0,32317.2,69495.6,146426.9,87894.7
"2013.11",1918112.0,52398.7,120784.0,331018.4,47163.9,869397.9,151157.7,34439.7,71776.1,149674.9,90300.9
"2013.12",1925002.7,52942.1,122994.2,329773.6,44232.6,872409.8,152600.9,34621.6,71158.1,153837.7,90432.2
"2014.01",1947515.6,55083.3,124674.9,333326.2,47648.0,872830.9,154649.7,33957.0,73552.1,158666.4,93127.1
"2014.02",1964346.6,57066.8,125924.0,338311.7,53100.9,876301.8,154788.3,33053.1,73131.6,156418.1,96250.4
"2014.03",1966281.4,55746.2,125386.6,337434.7,51707.5,880242.0,153771.9,32325.7,76673.7,158990.9,94002.0
"2014.04",1974261.2,56322.2,125571.6,340235.2,48912.1,878667.2,153568.2,32329.4,78675.6,161102.5,98877.2
"2014.05",1989131.0,56926.7,127833.0,343691.2,50602.3,880555.7,152699.1,31263.5,79426.6,164306.9,101826.1
"2014.06",1996979.2,57972.3,130475.0,345855.6,47593.7,882803.2,152568.6,30177.0,80523.3,168811.0,100199.5
"2014.07",2017151.4,58846.5,131122.8,350357.0,55640.7,883956.8,151616.0,28478.0,80496.7,173058.0,103579.0
"2014.08",2029634.2,59630.9,133676.3,353044.6,61127.6,880902.0,150663.7,26560.6,81014.6,175812.5,107201.3
"2014.09",2040018.6,59716.0,134112.0,359432.2,59561.3,882428.9,152155.6,26996.5,81373.9,181033.1,103209.0
"2014.10",2068512.8,60883.9,136471.1,364117.7,67311.4,879005.3,157813.7,25650.8,84030.1,187738.7,105490.0
"2014.11",2081613.3,62596.7,138769.4,368095.7,64629.0,886673.4,160908.8,24770.7,83291.0,185201.8,106676.8
